SEQ_ID	HMT_ID	Genus	Species	Strain	Contigs	Combined_Size	Habitat	Sequence_Source
SEQF1773	839	Lactobacillus	jensenii	269-3	57	1688275	Vaginal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/035/GCA_000175035.1_ASM17503v1
SEQF1776	819	Lactobacillus	johnsonii	ATCC 33200	32	1780499	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/355/GCA_000159355.1_ASM15935v1
SEQF1777	716	Lactobacillus	paracasei	ATCC 25302	73	2991737	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/495/GCA_000159495.1_ASM15949v1
SEQF1778	818	Lactobacillus	reuteri clade 818	CF48-3A	92	2107903	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/615/GCA_000159615.1_ASM15961v1
SEQF1779	818	Lactobacillus	reuteri clade 818	MM2-3	95	2015721	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/715/GCA_000160715.1_ASM16071v1
SEQF1780	818	Lactobacillus	reuteri clade 818	MM4-1A	7	2067914	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/475/GCA_000159475.2_ASM15947v2
SEQF1781	749	Lactobacillus	rhamnosus	LMS2-1	55	3159402	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/175/GCA_000160175.1_ASM16017v1
SEQF1782	756	Lactobacillus	salivarius	ATCC 11741	32	2017251	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/395/GCA_000159395.1_ASM15939v1
SEQF1783	51	Lactobacillus	vaginalis	ATCC 49540	112	1877332	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/435/GCA_000159435.1_ASM15943v1
SEQF1784	830	Mobiluncus	mulieris	28-1	55	2452380	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/775/GCA_000176775.1_ASM17677v1
SEQF1785	830	Mobiluncus	mulieris	ATCC 35243	15	2435166	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/615/GCA_000160615.1_ASM16061v1
SEQF1790	610	Neisseria	flavescens	SK114	31	2204114	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/275/GCA_000175275.1_ASM17527v1
SEQF1794	621	Neisseria	gonorrhoeae	DGI2	38	2175771	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/935/GCA_000159935.1_ASM15993v1
SEQF1795	836	Peptoniphilus	lacrimalis	315-B	71	1699205	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/955/GCA_000176955.1_ASM17695v1
SEQF1796	785	Porphyromonas	uenonis	60-3	250	2242885	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/775/GCA_000174775.1_ASM17477v1
SEQF1797	556	Prevotella	bivia	JCVIHMP010	121	2424432	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/315/GCA_000177315.1_ASM17731v1
SEQF1798	560	Prevotella	buccae	D17	84	3357950	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/455/GCA_000162455.1_ASM16245v1
SEQF1799	562	Prevotella	buccalis	ATCC 35310	118	3033961	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/075/GCA_000177075.1_ASM17707v1
SEQF1800	469	Prevotella	melaninogenica	D18	46	3292341	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/035/GCA_000163035.1_ASM16303v1
SEQF1801	530	Cutibacterium	acnes	J139	7	2481963	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/395/GCA_000177395.1_ASM17739v1
SEQF1802	676	Proteus	mirabilis	ATCC 29906	54	4027100	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/755/GCA_000160755.1_ASM16075v1
SEQF1803	550	Staphylococcus	aureus	A10102	45	2820632	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/495/GCA_000175495.1_ASM17549v1
SEQF1804	550	Staphylococcus	aureus	A5937	32	2827272	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/455/GCA_000174455.1_ASM17445v1
SEQF1805	550	Staphylococcus	aureus	A5948	65	2846107	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/475/GCA_000174475.1_ASM17447v1
SEQF1806	550	Staphylococcus	aureus	A6224	49	2870228	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/495/GCA_000174495.1_ASM17449v1
SEQF1807	550	Staphylococcus	aureus	A6300	49	2816649	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/515/GCA_000174515.1_ASM17451v1
SEQF1808	550	Staphylococcus	aureus	A8115	38	2746960	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/535/GCA_000174535.1_ASM17453v1
SEQF1809	550	Staphylococcus	aureus	A8117	32	2715851	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/955/GCA_000175955.1_ASM17595v1
SEQF1810	550	Staphylococcus	aureus	A9299	48	2782181	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/555/GCA_000174555.1_ASM17455v1
SEQF1811	550	Staphylococcus	aureus	A9635	40	2731263	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/575/GCA_000174575.1_ASM17457v1
SEQF1812	550	Staphylococcus	aureus	A9719	60	2856961	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/595/GCA_000174595.1_ASM17459v1
SEQF1813	550	Staphylococcus	aureus	A9763	41	2769858	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/615/GCA_000174615.1_ASM17461v1
SEQF1814	550	Staphylococcus	aureus	A9765	86	2887954	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/475/GCA_000175475.1_ASM17547v1
SEQF1815	550	Staphylococcus	aureus	A9781	50	2822169	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/635/GCA_000174635.1_ASM17463v1
SEQF1830	550	Staphylococcus	aureus	MN8	1	2899588	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/195/GCA_000160195.1_ASM16019v1
SEQF1831	550	Staphylococcus	aureus	TCH130	248	2779997	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/555/GCA_000159555.1_ASM15955v1
SEQF1832	550	Staphylococcus	aureus	TCH60	2	2827166	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/535/GCA_000159535.2_ASM15953v2
SEQF1833	550	Staphylococcus	aureus	TCH70	5	2818925	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/015/GCA_000149015.1_ASM14901v1
SEQF1835	550	Staphylococcus	aureus	WW2703/97	36	2804748	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/735/GCA_000162735.1_ASM16273v1
SEQF1836	601	Staphylococcus	epidermidis	M23864:W1	26	2629570	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/215/GCA_000160215.1_ASM16021v1
SEQF1837	601	Staphylococcus	epidermidis	SK135	33	2518045	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/115/GCA_000177115.1_ASM17711v1
SEQF1838	601	Staphylococcus	epidermidis	W23144	91	2646585	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/235/GCA_000160235.1_ASM16023v1
SEQF1839	76	Staphylococcus	warneri	L37603	77	2425653	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/175/GCA_000175175.1_ASM17517v1
SEQF1840	734	Streptococcus	pneumoniae	TCH8431/19A	1	2088772	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/595/GCA_000196595.1_ASM19659v1
SEQF1843	755	Streptococcus	salivarius	SK126	101	2128332	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/715/GCA_000174715.1_ASM17471v1
SEQF1844	827	Yersinia	pestis	KIM D27	9	4681648	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/705/GCA_000182705.1_ASM18270v1
SEQF1845	531	Aggregatibacter	actinomycetemcomitans	D7S-1	1	2308962	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/615/GCA_000163615.3_ASM16361v3
SEQF1846	594	Streptococcus	downei	F0415	17	2239421	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/055/GCA_000180055.1_ASM18005v1
SEQF1847	56	Streptococcus	sp. HMT 056	F0418	1	1943250	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/065/GCA_000220065.2_ASM22006v1
SEQF1848	175	Actinomyces	sp. HMT 175	F0384	7	3133330	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/355/GCA_000223355.2_ASM22335v1
SEQF1849	170	Actinomyces	sp. HMT 170	F0386	76	3135144	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/595/GCA_000195595.1_ASM19559v1
SEQF1850	851	Haemophilus	haemolyticus	F0397	21	1838618	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/295/GCA_000242295.1_ASM24229v1
SEQF1851	191	Propionibacterium	acidifaciens	F0233	334	3017605	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/805/GCA_000478805.1_PacidF0233v2.0
SEQF1852	298	Prevotella	histicola	F0411	17	2992428	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/055/GCA_000234055.1_Prev_hist_F0411_V1
SEQF1853	195	Scardovia	wiggsiae	F0424	2	1555498	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/805/GCA_000275805.1_Scar_wigg_F0424_V1
SEQF1854	108	Oribacterium	asaccharolyticum	F0425	1	2518361	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/455/GCA_000214455.2_ASM21445v1
SEQF1855	375	Peptoniphilus	sp. HMT 375	F0436	1	1950550	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/565/GCA_000221565.2_ASM22156v1
SEQF1856	709	Lactobacillus	oris	F0423	20	2174937	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/505/GCA_000221505.2_ASM22150v2
SEQF1857	393	Parvimonas	sp. HMT 393	F0440	5	1483165	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/315/GCA_000223315.2_ASM22331v1
SEQF1858	137	Selenomonas	sp. HMT 137	F0430	15	2475066	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/625/GCA_000183625.2_ASM18362v1
SEQF1859	780	Veillonella	sp. HMT 780	F0422	75	1731014	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/605/GCA_000221605.2_ASM22160v1
SEQF1860	540	Cardiobacterium	valvarum	F0432	98	2553535	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/355/GCA_000239355.1_ASM23935v1
SEQF1861	424	Lactobacillus	kisonensis	F0435	86	2987059	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/275/GCA_000242275.1_ASM24227v1
SEQF1862	418	Lactobacillus	parafarraginis	F0439	165	2854910	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/835/GCA_000238835.1_ASM23883v1
SEQF1863	378	Prevotella	micans	F0438	12	2487950	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/035/GCA_000243035.1_Prev_mica_F0438_V1
SEQF1864	584	Treponema	denticola	ATCC 35404	1	2771508	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/685/GCA_000340685.1_Trep_dent_ATCC_35404_V1
SEQF1865	584	Treponema	denticola	ATCC 33520	2	2886890	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/615/GCA_000338615.1_Trep_dent_ATCC_33520_V1
SEQF1866	584	Treponema	denticola	OTK/F0454	1	2857526	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/705/GCA_000340705.1_Trep_dent_OTK_V1
SEQF1867	584	Treponema	denticola	SP37/F0455	2	2823766	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/455/GCA_000338455.1_Trep_dent_SP37_V1
SEQF1868	584	Treponema	denticola	H1-T/F0456	1	2929700	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/605/GCA_000340605.1_Trep_dent_H1-T_V1
SEQF1869	584	Treponema	denticola	H-22/F0457	1	2757856	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/645/GCA_000340645.1_Trep_dent_H-22_V1
SEQF1870	584	Treponema	denticola	MYR-T/F0458	2	2935848	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/515/GCA_000338515.1_Trep_dent_MYR-T_V1
SEQF1871	584	Treponema	denticola	US-Trep/F0459	2	2765731	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/745/GCA_000340745.1_Trep_dent_US-Trep_V1
SEQF1872	584	Treponema	denticola	ASLM/F0460	2	2768236	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/635/GCA_000338635.1_Trep_dent_ASLM_V1
SEQF1873	584	Treponema	denticola	AL-2/F0461	1	2843090	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/725/GCA_000340725.1_Trep_dent_AL-2_V1
SEQF1874	584	Treponema	denticola	SP23/F0463	3	2825999	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/115/GCA_000413115.1_Trep_dent_SP23_F0463_V1
SEQF1875	584	Treponema	denticola	SP32/F0464	6	2990277	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/095/GCA_000413095.1_Trep_dent_SP32_F0464_V1
SEQF1876	584	Treponema	denticola	SP33/F0465	4	2933485	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/475/GCA_000338475.1_Trep_dent_SP33_V1
SEQF1877	584	Treponema	denticola	SP44/F0466	8	2824736	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/075/GCA_000413075.1_Trep_dent_SP44_F0466_V1
SEQF1878	584	Treponema	denticola	ATCC 33521	3	2762110	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/595/GCA_000338595.1_Trep_dent_ATCC_33521_V1
SEQF1879	370	Fusobacterium	sp. HMT 370	F0437	133	2093299	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/465/GCA_000235465.1_ASM23546v1
SEQF1880	121	Anaeroglobus	geminatus	F0357	57	1798854	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/275/GCA_000239275.1_ASM23927v1
SEQF1881	82	Lachnoanaerobaculum	orale	F0431	96	2945844	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/315/GCA_000242315.1_ASM24231v1
SEQF1883	420	Fusobacterium	nucleatum subsp. animalis	F0419	4	2424697	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/975/GCA_000242975.1_Fuso_nucl_OT_420_V1
SEQF1885	721	Streptococcus	parasanguinis clade 721	F0449	134	2082334	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/695/GCA_000260695.1_SparasanguinisF0449v1.0
SEQF1887	306	Prevotella	sp. HMT 306	F0472	74	2945767	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/257/925/GCA_000257925.1_PspF0472v1.0
SEQF1888	70	Streptococcus	oralis subsp. tigurinus clade 070	F0441	1	2000650	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/775/GCA_000314775.2_Strept_sp_F0441_V1
SEQF1889	66	Streptococcus	sp. HMT 066	F0442	3	2231248	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/795/GCA_000314795.2_Strept_sp_F0442_V1
SEQF1890	133	Selenomonas	sp. HMT 133	F0473	2	2067540	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/545/GCA_000315545.1_Seleno_sp_F0473_V1
SEQF1892	590	Brevundimonas	diminuta	470-4	80	3337682	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/405/GCA_000318405.1_ASM31840v1
SEQF1893	693	Prevotella	nigrescens	ATCC 33563	24	2669193	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/235/GCA_000220235.1_ASM22023v1
SEQF1894	531	Aggregatibacter	actinomycetemcomitans	Y4	87	2186501	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/155/GCA_000318155.1_ASM31815v1
SEQF1895	542	Peptostreptococcus	anaerobius	VPI 4330	91	1988451	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/115/GCA_000318115.1_ASM31811v1
SEQF1897	595	Corynebacterium	durum	F0235	20	2809576	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/135/GCA_000318135.1_ASM31813v1
SEQF1899	473	Alloprevotella	sp. HMT 473	F0040	24	2553017	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/095/GCA_000318095.2_ASM31809v2
SEQF1900	326	Capnocytophaga	sp. HMT 326	F0382	127	3218123	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/295/GCA_000318295.1_ASM31829v1
SEQF1901	188	Rothia	aeria	F0474	50	2584293	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/205/GCA_000258205.1_RaeriaF0474v1.0
SEQF1902	617	Schaalia	georgiae	F0490	306	2477360	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/685/GCA_000277685.1_AgeorgiaeF0490v1.0
SEQF1903	852	Actinomyces	massiliensis	F0489	233	3416440	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/275/GCA_000296275.1_AmassiliensisF0489v1.0
SEQF1906	335	Capnocytophaga	sp. HMT 335	F0486	38	2545989	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/665/GCA_000277665.1_Coraltaxon335F0486v1.0
SEQF1907	279	Porphyromonas	pasteri	F0450	51	2265201	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/995/GCA_000292995.1_Psp279F0450v1.0
SEQF1909	412	Capnocytophaga	sp. HMT 412	F0487	62	2590781	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/925/GCA_000271925.1_Coraltaxon412F0487v1.0
SEQF1910	709	Lactobacillus	oris	PB013-T2-3	89	2115990	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/015/GCA_000180015.1_ASM18001v1
SEQF1911	588	Bifidobacterium	dentium	JCVIHMP022	35	2636584	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/165/GCA_000149165.2_ASM14916v1
SEQF1912	377	Peptostreptococcaceae [XI][G-7]	[Eubacterium] yurii subsps. yurii & margaretiae	ATCC 43715	14	2511030	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/855/GCA_000146855.1_ASM14685v1
SEQF1913	71	Streptococcus	oralis subsp. tigurinus clade 071	73H25AP	7	1976523	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/755/GCA_000146755.1_ASM14675v1
SEQF1914	149	Selenomonas	sp. HMT 149	67H29BP	16	2471116	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/365/GCA_000146365.1_ASM14636v1
SEQF1915	665	Prevotella	marshii	DSM 16973	11	2559358	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/675/GCA_000146675.1_ASM14667v1
SEQF1916	669	Neisseria	meningitidis	ATCC 13091	27	2262611	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/655/GCA_000146655.1_ASM14665v1
SEQF1917	707	Streptococcus	oralis subsp. oralis	ATCC 35037	25	1884712	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/565/GCA_000148565.2_ASM14856v1
SEQF1918	524	Veillonella	atypica	ACS-134-V-Col7a	70	2151913	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/755/GCA_000179755.1_ASM17975v1
SEQF1919	721	Streptococcus	parasanguinis clade 721	ATCC 15912	1	2153652	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/675/GCA_000164675.2_ASM16467v2
SEQF1920	614	Lysinibacillus	fusiformis	ZC1	113	4649417	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/135/GCA_000178135.1_ASM17813v1
SEQF1921	542	Peptostreptococcus	anaerobius	653-L	73	2083092	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/095/GCA_000178095.1_ASM17809v1
SEQF1922	816	Lactobacillus	coleohominis	101-4-CHN	12	1725829	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/935/GCA_000161935.1_ASM16193v1
SEQF1924	638	Streptococcus	infantis clade 638	ATCC BAA-102	21	1925187	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/985/GCA_000154985.1_ASM15498v1
SEQF1925	587	Rothia	dentocariosa	ATCC 17931	1	2506025	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/695/GCA_000164695.2_ASM16469v2
SEQF1926	343	Achromobacter	xylosoxidans	A8	3	7359146	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/835/GCA_000165835.1_ASM16583v1
SEQF1927	655	Eubacterium	limosum	KIST612	1	4316707	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/245/GCA_000152245.2_ASM15224v2
SEQF1928	607	Mycoplasma	fermentans	JER	1	977524	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/625/GCA_000148625.1_ASM14862v1
SEQF1929	734	Streptococcus	pneumoniae	AP200	1	2130580	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/975/GCA_000146975.1_ASM14697v1
SEQF1930	817	Lactobacillus	crispatus	ST1	1	2043161	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/765/GCA_000091765.1_ASM9176v1
SEQF1932	307	Prevotella	salivae	F0493	32	3099908	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/477/535/GCA_000477535.1_PsaliF0493v1.0
SEQF1933	806	Olsenella	profusa	F0195	73	2724935	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/468/755/GCA_000468755.1_OprofF0195v1.0
SEQF1934	553	Prevotella	baroniae	F0067	44	3024338	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/468/635/GCA_000468635.1_PbaroF0067v1.0
SEQF1935	303	Prevotella	pleuritidis	F0068	51	2709958	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/468/135/GCA_000468135.1_PpleuF0068v1.0
SEQF1936	283	Porphyromonas	catoniae	F0037	18	2101485	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/215/GCA_000318215.2_ASM31821v2
SEQF1937	332	Capnocytophaga	sp. HMT 332	F0381	103	2656035	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/275/GCA_000318275.2_ASM31827v2
SEQF1938	324	Capnocytophaga	sp. HMT 324	F0483	63	2739607	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/315/GCA_000318315.2_ASM31831v2
SEQF1939	524	Veillonella	atypica	KON	40	1997160	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/355/GCA_000318355.2_ASM31835v2
SEQF1940	667	Treponema	medium	ATCC 700293	1	2727508	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/035/GCA_000413035.1_Trep_medi_ATCC_700293_V1
SEQF1941	664	Treponema	maltophilum	ATCC 51939	1	2530388	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/055/GCA_000413055.1_Trep_malt_ATCC_51939_V1
SEQF1942	769	Treponema	socranskii	ATCC 35535	2	2742149	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/015/GCA_000413015.1_Trep_socr_subsp_paredis_ATCC_35535_V1
SEQF1944	20	Neisseria	sp. HMT 020	F0370	118	2358903	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/235/GCA_000318235.2_ASM31823v2
SEQF1946	781	Prevotella	saccharolytica	F0055	71	2853490	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/195/GCA_000318195.2_ASM31819v2
SEQF1947	29	Treponema	vincentii	F0403/N9	3	2693493	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/995/GCA_000412995.1_Trep_vinc_F0403_V1
SEQF1948	181	Schaalia	lingnae [Not Validly Published]	F0379	14	1901306	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/335/GCA_000318335.2_ASM31833v2
SEQF1949	199	Atopobium	sp. HMT 199	F0494	2	1665560	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/411/555/GCA_000411555.1_Atop_sp_oral_taxon_199_F0494_V1
SEQF1950	380	Capnocytophaga	sp. HMT 380	F0488	76	2634285	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/255/GCA_000318255.2_ASM31825v2
SEQF1951	138	Selenomonas	sp. HMT 138	F0429	33	2384529	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/175/GCA_000318175.2_ASM31817v2
SEQF1952	862	Bifidobacterium	longum	subsp. longum ATCC 55813	114	2396359	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/135/GCA_000003135.1_ASM313v1
SEQF1953	531	Aggregatibacter	actinomycetemcomitans	ANH9381	1	2136808	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/025/GCA_000241025.2_ASM24102v2
